index   scene   spawn   music   title   fadein  fadeout 
0x0000       0       0    stop      on       2       2
0x0001       0       0    stop      on       2       2
0x0002       0       0    stop      on       2       2
0x0003       0       0    stop      on       2       2
0x0004       1       0    stop      on       2       2
0x0005       1       0    stop      on       2       2
0x0006       1       0    stop      on       2       2
0x0007       1       0    stop      on       2       2
0x0008      11       0    stop      on       2       2
0x0009      11       0    stop      on       2       2
0x000A      11       0    stop      on       2       2
0x000B      11       0    stop      on       2       2
0x000C      20       0      go      on       2       2
0x000D      20       0      go      on       2       2
0x000E      20       0      go      on       2       2
0x000F      20       0      go      on       2       2
0x0010       5       0    stop      on       2       2
0x0011       5       0    stop      on       2       2
0x0012       5       0    stop      on       2       2
0x0013       5       0    stop      on       2       2
0x0014     110       0    stop      on       2       2
0x0015     110       0    stop      on       2       2
0x0016     110       0    stop      on       2       2
0x0017     110       0    stop      on       2       2
0x0018     108       0    stop      on       2       2
0x0019     108       0    stop      on       2       2
0x001A     108       0    stop      on       2       2
0x001B     108       0    stop      on       2       2
0x001C     104       0    stop      on       2       2
0x001D     104       0    stop      on       2       2
0x001E     104       0    stop      on       2       2
0x001F     104       0    stop      on       2       2
0x0020     105       0    stop      on       2       2
0x0021     105       0    stop      on       2       2
0x0022     105       0    stop      on       2       2
0x0023     105       0    stop      on       2       2
0x0024     109       0    stop      on       2       2
0x0025     109       0    stop      on       2       2
0x0026     109       0    stop      on       2       2
0x0027     109       0    stop      on       2       2
0x0028       2       0    stop      on       2       2
0x0029       2       0    stop      on       2       2
0x002A       2       0    stop      on       2       2
0x002B       2       0    stop      on       2       2
0x002C       2       0    stop      on       2       2
0x002D      65       0    stop      on       2      38
0x002E      65       0    stop      on       2      38
0x002F      65       0    stop      on       2      38
0x0030      65       0    stop      on       2      38
0x0031      65       0    stop      on       2       2
0x0032      65       0    stop      on       2       2
0x0033      27       0      go      on       3       3
0x0034      28       0      go      on       2       2
0x0035      29       0      go      on       3       3
0x0036      29       0      go      on       2       2
0x0037       7       0    stop      on       2       2
0x0038       7       0    stop      on       2       2
0x0039       7       0    stop      on       2       2
0x003A       7       0    stop      on       2       2
0x003B      66       0    stop      on       4      32
0x003C      66       0    stop      on       4      32
0x003D      66       0    stop      on       4      32
0x003E      66       0    stop      on       4      32
0x003F      62       0    stop      on       2       2
0x0040      62       0    stop      on       2       2
0x0041      62       0    stop      on       2       2
0x0042      62       0    stop      on       2       2
0x0043      56       0    stop      on       4      32
0x0044      56       0    stop      on       4      32
0x0045      56       0    stop      on       4      32
0x0046      56       0    stop      on       4      32
0x0047     106       0    stop      on       2       2
0x0048     106       0    stop      on       2       2
0x0049     106       0    stop      on       2       2
0x004A     106       0    stop      on       2       2
0x004B      64       0    stop      on       2      38
0x004C      64       0    stop      on       2      38
0x004D      64       0    stop      on       2      38
0x004E      64       0    stop      on       2      38
0x004F      76       0    stop      on       4      32
0x0050      76       0    stop      on       4      32
0x0051      76       0    stop      on       4      32
0x0052      76       0    stop      on       4      32
0x0053      67       0    stop      on       2       2
0x0054      67       0    stop      on       2       2
0x0055      67       0    stop      on       2       2
0x0056      67       0    stop      on       2       2
0x0057      67       0    stop      on       2       2
0x0058      67       0    stop      on       2       2
0x0059      67       0    stop      on       2       2
0x005A      67       0    stop      on       2       2
0x005B      67       0    stop      on       2       2
0x005C      67       0    stop      on       2       2
0x005D      67       0    stop      on       2       2
0x005E      67       0    stop      on      11      11
0x005F      67       0    stop      on       2       2
0x0060      67       0    stop      on       2       2
0x0061      67       0    stop      on       2       2
0x0062      67       0    stop      on       2       2
0x0063      16       0    stop      on       4      32
0x0064      16       0    stop      on       4      32
0x0065      16       0    stop      on       4      32
0x0066      16       0    stop      on       4      32
0x0067      30       3      go      on       3       3
0x0068      31       3      go      on       2       2
0x0069      30       3      go      on       2       2
0x006A      31       3      go      on       2       2
0x006B      68       0    stop      on       7       7
0x006C      68       0    stop      on       7       7
0x006D      68       0    stop      on       7       7
0x006E      68       0    stop      on       7       7
0x006F      68       0    stop      on      13       2
0x0070      68       0    stop      on      13       2
0x0071      68       0    stop      on       3       3
0x0072      78       0    stop      on       4      32
0x0073      78       0    stop      on       4      32
0x0074      78       0    stop      on       4      32
0x0075      78       0    stop      on       4      32
0x0076     107       0    stop      on      34      34
0x0077     107       0    stop      on      34      34
0x0078     107       0    stop      on      34      34
0x0079     107       0    stop      on      34      34
0x007A      69       0    stop      on      34       4
